成功解析 31 個模組。
--- Starting Single-Pass Warm-up & Weight Calculation ---
Total samples for warm-up: 5000
Accurate time per iteration: 0.0207342 ms
Average Area/AR cost: 520466
Average INL cost: 118832
First round. 
Calculated weights -> w_area: 1, w_inl: 4.37985
Adaptive SA params (Strategy B): max_iter=310, cooling_rate=0.999872, num_steps=89854
Temp: 8717.71, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8716.60, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8715.48, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8714.36, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 8713.25, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8712.13, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8711.01, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8709.90, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8708.78, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 8707.67, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8706.55, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
No improvement for 10 steps. Applying punishing cooldown.
Temp: 8444.24, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 8443.16, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8442.07, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 8440.99, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 8439.91, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8438.83, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.28
Temp: 8437.75, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8436.67, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8435.59, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 8434.51, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8433.43, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8432.34, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8431.26, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8430.18, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8429.10, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8428.02, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8426.94, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8425.86, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8424.79, Best Cost: 25960.6939, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 8423.71, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8422.63, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8421.55, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8420.47, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8419.39, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 8418.31, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 8417.23, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8416.15, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 8415.08, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 8414.00, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8412.92, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 8411.84, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8410.76, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 8409.69, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 8408.61, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8407.53, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8406.45, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8405.38, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 8404.30, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 8403.22, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 8402.15, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.27
No improvement for 10 steps. Applying punishing cooldown.
Temp: 8149.01, Best Cost: 23185.3998, Round Elapsed time: 0.01 s, probability_avg : 0.31
